PG.UniProtIds	NCD1	NCD2	NCD3	NCD4	HFD1	HFD2	HFD3	HFD4	HFDLEA1	HFDLEA2	HFDLEA3	HFDLEA4
P21279	240.058609	425.4181213	398.7867432	418.2992249	384.7165527	282.5069885	438.0404968	528.4610596	334.9510803	568.1662598	443.6763611	436.4072571
P21440	266.3168335	293.9315186	357.3705139	299.6942139	333.0155029	383.0792847	438.0722656	409.2845154	317.785553	293.9074707	269.5527344	282.3043823
P21460	27.03565216	49.45985794	16.41789055	127.092926	0	0	13.81983566	30.12945938	0	176.181015	31.3880043	48.02057648
P21614	2077.617676	2020.242554	2283.700195	2390.7854	2217.246338	2430.791748	2955.437256	2635.032227	2406.322266	2105.827148	1944.559448	1955.915771
P21619	571.428772	658.8849487	586.4807129	645.4264526	662.2047729	733.614624	954.5022583	859.5445557	664.1845093	737.8339844	683.7940674	698.6820068
P21958	70.95823669	86.86488342	151.5701447	103.8615036	126.3904037	110.3871078	138.5368652	171.6460724	100.1214294	97.37656403	103.5042648	168.0717316
P21981	4981.141602	4484.074707	4028.128906	3926.810303	4129.293457	4210.082031	4563.695801	4140.369629	4073.786865	3786.336914	3228.615723	3806.463135
P22227	136.6732178	64.96695709	129.7247467	140.9258423	132.9804688	182.47789	248.1726074	131.880249	171.8004303	261.5237427	199.5970154	150.7314606
P22315	2107.213623	1953.695801	2069.861084	1934.106079	1592.188354	1800.070923	1679.641602	1749.603394	1393.31543	1705.769409	2019.733154	1724.562622
P22366	131.8341064	86.04124451	81.98227692	76.47866058	154.4621124	67.16052246	129.8195496	80.77882385	51.9609108	70.08480072	72.30747223	120.6529465
P22437	128.799881	46.22243118	100.5585251	82.7460556	141.140625	129.5966949	78.7230835	103.1543732	105.9478226	89.64167786	115.0666962	77.15391541
P22599	1248.094849	1894.299316	1485.787109	1623.202759	1229.670532	1301.531006	1556.51123	1313.15564	1202.124146	1560.640747	1424.536255	986.2400513
P22892	233.9247589	322.6770325	337.2398376	322.4822693	415.422699	301.607666	398.0250244	358.2083435	382.2370605	321.8675232	293.1071167	361.4586792
P22907	357.620697	333.8826294	352.3440552	310.9139099	355.919342	291.768219	349.3806152	268.3838501	331.9535828	278.131958	249.279541	236.4453735
P23116	876.1325684	841.5958252	899.2260132	814.965332	1025.744141	1049.852173	995.59729	1035.338867	971.2677002	928.6294556	944.4744873	1153.43689
P23198	509.0212708	407.8934631	396.3121033	504.4815369	436.6234131	384.7133179	617.6338501	549.3900757	503.8653564	451.3995361	510.0852051	360.2981567
P23249	233.8449402	193.1355591	244.0515747	235.5647888	195.3502655	283.0719604	226.9159241	343.4553528	299.7913208	189.8711243	255.245697	278.3102417
P23475	76.95591736	65.4072876	74.00481415	54.50388336	34.25373077	67.26311493	47.9704628	57.3328743	40.30257797	53.33654785	60.69883728	55.19491196
P23492	4335.32959	5504.489258	5691.550781	5299.249512	3913.922363	3749.47876	4335.346191	3310.650391	3803.271484	3770.429932	3360.452881	3534.968506
P23506	335.5506897	420.2605896	466.7745361	364.9528198	382.3964233	471.8368225	445.1870117	406.3597107	400.1341858	519.3682251	357.3611145	413.5101318
P23589	1700.721069	1612.214966	1568.890015	1363.199097	895.9207764	1044.821655	799.1903687	990.0734863	1272.351807	1148.862671	1213.403442	1168.355103
